timestamp,symbol,price,volume,change,change_percent,date,hour,minute
2025-12-07 13:24:43.933676,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,24
2025-12-07 13:25:44.231977,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,25
2025-12-07 13:25:44.520292,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,25
2025-12-07 13:25:44.846943,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,25
2025-12-07 13:25:45.153654,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,25
2025-12-07 13:25:45.393860,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,25
2025-12-07 13:26:45.673341,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,26
2025-12-07 13:26:45.980478,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,26
2025-12-07 13:26:46.221514,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,26
2025-12-07 13:26:46.497546,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,26
2025-12-07 13:26:46.799558,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,26
2025-12-07 13:27:47.354560,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,27
2025-12-07 13:27:47.643981,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,27
2025-12-07 13:27:47.880336,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,27
2025-12-07 13:27:48.113852,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,27
2025-12-07 13:27:48.461940,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,27
2025-12-07 13:28:48.760861,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,28
2025-12-07 13:28:49.066978,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,28
2025-12-07 13:28:49.512665,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,28
2025-12-07 13:28:49.784042,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,28
2025-12-07 13:28:50.297094,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,28
2025-12-07 13:29:50.610453,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,29
2025-12-07 13:29:50.918435,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,29
